Date,Shift_Name,Staff_ID,Shift_Start,Shift_End
2022-10-30,Morning,fa5d3100,2022-10-30 08:00,2022-10-30 16:00
2022-10-30,Morning,9132b63e,2022-10-30 08:00,2022-10-30 16:00
2022-10-30,Morning,f10c718b,2022-10-30 08:00,2022-10-30 16:00
2022-10-30,Morning,2369b584,2022-10-30 08:00,2022-10-30 16:00
2022-10-30,Morning,c1590f53,2022-10-30 08:00,2022-10-30 16:00
2022-10-30,Morning,77d21e02,2022-10-30 08:00,2022-10-30 16:00
2022-10-30,Morning,93829b43,2022-10-30 08:00,2022-10-30 16:00
2022-10-30,Morning,bb026576,2022-10-30 08:00,2022-10-30 16:00
2022-10-30,Morning,a9488d99,2022-10-30 08:00,2022-10-30 16:00
2022-10-30,Evening,0ef8c2d6,2022-10-30 16:00,2022-10-31 00:00
2022-10-30,Evening,2a45c2ab,2022-10-30 16:00,2022-10-31 00:00
2022-10-30,Evening,6c307511,2022-10-30 16:00,2022-10-31 00:00
2022-10-30,Evening,bdd640fb,2022-10-30 16:00,2022-10-31 00:00
2022-10-30,Evening,7a0ecfea,2022-10-30 16:00,2022-10-31 00:00
2022-10-30,Evening,474a493b,2022-10-30 16:00,2022-10-31 00:00
2022-10-30,Evening,72ff5d2a,2022-10-30 16:00,2022-10-31 00:00
2022-10-30,Evening,63f2ae24,2022-10-30 16:00,2022-10-31 00:00
2022-10-30,Evening,5f987c71,2022-10-30 16:00,2022-10-31 00:00
2022-10-30,Night,8b9d2434,2022-10-30 00:00,2022-10-30 08:00
2022-10-30,Night,05628059,2022-10-30 00:00,2022-10-30 08:00
2022-10-31,Morning,f4188f3f,2022-10-31 08:00,2022-10-31 16:00
2022-10-31,Morning,a8b317fa,2022-10-31 08:00,2022-10-31 16:00
2022-10-31,Morning,bdd640fb,2022-10-31 08:00,2022-10-31 16:00
2022-10-31,Morning,7b3a4e3e,2022-10-31 08:00,2022-10-31 16:00
2022-10-31,Morning,a491f0b2,2022-10-31 08:00,2022-10-31 16:00
2022-10-31,Morning,d261a7ab,2022-10-31 08:00,2022-10-31 16:00
2022-10-31,Morning,2369b584,2022-10-31 08:00,2022-10-31 16:00
2022-10-31,Morning,5f987c71,2022-10-31 08:00,2022-10-31 16:00
2022-10-31,Morning,c1590f53,2022-10-31 08:00,2022-10-31 16:00
2022-10-31,Morning,2a45c2ab,2022-10-31 08:00,2022-10-31 16:00
2022-10-31,Morning,7a0ecfea,2022-10-31 08:00,2022-10-31 16:00
2022-10-31,Morning,b02b61c4,2022-10-31 08:00,2022-10-31 16:00
2022-10-31,Morning,0f1259e0,2022-10-31 08:00,2022-10-31 16:00
2022-10-31,Morning,d9f195d0,2022-10-31 08:00,2022-10-31 16:00
2022-10-31,Morning,614ff3d7,2022-10-31 08:00,2022-10-31 16:00
2022-10-31,Evening,310c0c00,2022-10-31 16:00,2022-11-01 00:00
2022-10-31,Evening,3da9c2a9,2022-10-31 16:00,2022-11-01 00:00
2022-10-31,Evening,d777a477,2022-10-31 16:00,2022-11-01 00:00
2022-10-31,Evening,72ff5d2a,2022-10-31 16:00,2022-11-01 00:00
2022-10-31,Evening,bb026576,2022-10-31 16:00,2022-11-01 00:00
2022-10-31,Evening,f8cda88b,2022-10-31 16:00,2022-11-01 00:00
2022-10-31,Evening,05628059,2022-10-31 16:00,2022-11-01 00:00
2022-10-31,Evening,77d21e02,2022-10-31 16:00,2022-11-01 00:00
2022-10-31,Evening,dfde4fbf,2022-10-31 16:00,2022-11-01 00:00
2022-10-31,Evening,1ca35cfb,2022-10-31 16:00,2022-11-01 00:00
2022-10-31,Night,fa5d3100,2022-10-31 00:00,2022-10-31 08:00
2022-10-31,Night,a6f2f7b8,2022-10-31 00:00,2022-10-31 08:00
2022-10-31,Night,9a1de644,2022-10-31 00:00,2022-10-31 08:00
2022-10-31,Night,bf3c4c06,2022-10-31 00:00,2022-10-31 08:00
2022-11-01,Morning,d777a477,2022-11-01 08:00,2022-11-01 16:00
2022-11-01,Morning,3da9c2a9,2022-11-01 08:00,2022-11-01 16:00
2022-11-01,Morning,b02b61c4,2022-11-01 08:00,2022-11-01 16:00
2022-11-01,Morning,9a1de644,2022-11-01 08:00,2022-11-01 16:00
2022-11-01,Morning,310c0c00,2022-11-01 08:00,2022-11-01 16:00
2022-11-01,Morning,88bd6407,2022-11-01 08:00,2022-11-01 16:00
2022-11-01,Morning,f4188f3f,2022-11-01 08:00,2022-11-01 16:00
2022-11-01,Morning,ab9099a4,2022-11-01 08:00,2022-11-01 16:00
2022-11-01,Morning,d9f195d0,2022-11-01 08:00,2022-11-01 16:00
2022-11-01,Morning,7b3a4e3e,2022-11-01 08:00,2022-11-01 16:00
2022-11-01,Morning,0ef8c2d6,2022-11-01 08:00,2022-11-01 16:00
2022-11-01,Morning,a9488d99,2022-11-01 08:00,2022-11-01 16:00
2022-11-01,Morning,1d53434b,2022-11-01 08:00,2022-11-01 16:00
2022-11-01,Evening,bb026576,2022-11-01 16:00,2022-11-02 00:00
2022-11-01,Evening,0f1259e0,2022-11-01 16:00,2022-11-02 00:00
2022-11-01,Evening,9132b63e,2022-11-01 16:00,2022-11-02 00:00
2022-11-01,Evening,474a493b,2022-11-01 16:00,2022-11-02 00:00
2022-11-01,Evening,1ca35cfb,2022-11-01 16:00,2022-11-02 00:00
2022-11-01,Evening,2a45c2ab,2022-11-01 16:00,2022-11-02 00:00
2022-11-01,Evening,fa5d3100,2022-11-01 16:00,2022-11-02 00:00
2022-11-01,Evening,759cde66,2022-11-01 16:00,2022-11-02 00:00
2022-11-01,Evening,93829b43,2022-11-01 16:00,2022-11-02 00:00
2022-11-01,Evening,f10c718b,2022-11-01 16:00,2022-11-02 00:00
2022-11-01,Evening,f8cda88b,2022-11-01 16:00,2022-11-02 00:00
2022-11-01,Night,c1590f53,2022-11-01 00:00,2022-11-01 08:00
2022-11-01,Night,6c307511,2022-11-01 00:00,2022-11-01 08:00
2022-11-01,Night,72ff5d2a,2022-11-01 00:00,2022-11-01 08:00
2022-11-02,Morning,a8b317fa,2022-11-02 08:00,2022-11-02 16:00
